"conc1","def1","conc2","def2","domain","wlinks1","wlinks2","average"
"Aardvark","nocturnal burrowing mammal of the grasslands of Africa that feeds on termites","Ant","social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers","Z",1,0,1.6087
"Aspirin","the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug usually taken in tablet form; used as an antipyretic","Acetylsalicylic acid","a salicylate drug, often used as an analgesic to relieve minor aches and pains, as an antipyretic to reduce fever, and as an anti-inflammatory medication","F",1,1,3.0909
"Ballad","a narrative song with a recurrent refrain","Pop music","music of general appeal to teenagers; a bland watered-down version of rock'n'roll with more rhythm and harmony and an emphasis on romantic love","M",1,0,2.5600
"Ballet","a theatrical representation of a story that is performed to music by trained dancers","Music","an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner","M",0,1,2.9600
"Beach","an area of sand sloping down to the water of a sea or lake","Park","a large area of land preserved in its natural state as public property","B",1,0,1.4231
"Beer","a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops","Sake","Japanese alcoholic beverage made from fermented rice; usually served hot","F",0,1,2.3600
"Beetle","insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings","Caterpillar","a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth","Z",1,0,1.8333
"Bill","a piece of paper money (especially one issued by a central bank)","Note","a form of cash currency","E",1,0,3.1600
"Blues","a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes","Popular music","any genre of music having wide appeal (but usually only for a short time)","M",1,0,2.4000
"Brake","a restraint used to slow or stop a vehicle","Hand brake","a brake operated by hand; usually operates by mechanical linkage","C",2,0,3.1600
"Brake","a restraint used to slow or stop a vehicle","Tire","hoop that covers a wheel","C",1,0,2.5200
"Brand","a name given to a product or service","Trade name","the name which a business trades under for commercial purposes","F",0,1,3.1250
"Bribery","the practice of offering something (usually money) in order to gain an illicit advantage","Referee","the chief official (as in boxing or American football) who is expected to ensure fair play","So",1,0,0.9167
"Bullying","the act of intimidating a weaker person to make them do something","Self-esteem","a feeling of pride in yourself","Sc",1,1,2.7200
"Bus","a vehicle carrying many passengers; used for public transport","Passenger","a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it","C",1,0,3.1600
"Camper","a recreational vehicle equipped for camping out while traveling","Motor home","a motor vehicle equipped with living space and amenities found in a home","C",1,0,2.8000
"Celery","widely cultivated herb with aromatic leaf stalks that are eaten raw or cooked","Salad","food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens","F",1,1,2.6154
"Checkmate","a chess move constituting an inescapable and indefensible attack on the opponent's king","Chess","a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king","S",1,1,3.5385
"Cheese","a solid food prepared from the pressed curd of milk","Milk","a white nutritious liquid secreted by mammals and used as food by human beings","F",1,1,3.0000
"Cheetah","long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game","Hyena","doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion","Z",1,1,2.0800
"Chess","a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king","Intelligence","a unit responsible for gathering and interpreting information about an enemy","S",1,0,2.6400
"Coach","someone in charge of training an athlete or a team","Manager","the person responsible for running a football club or a national team","So",0,1,2.4000
"Coin","a flat metal piece (usually a disc) used as money","Gold","a deep yellow color","E",1,1,2.6923
"College","an institution of higher education created to educate and grant degrees","Dormitory","a college or university building containing living quarters for students","Sc",1,1,2.5200
"Condiment","a preparation (a sauce or relish or spice) to enhance flavor or enjoyment","Beef","meat from an adult domestic bovine","F",1,0,1.4800
"Coriander","Old World herb with aromatic leaves and seed resembling parsley","Citrus","any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions","F",1,0,1.3636
"Crab","decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers","Beach","an area of sand sloping down to the water of a sea or lake","B",0,1,2.4800
"Crab","decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers","Seashore","the shore of a sea or ocean","B",1,0,2.6800
