"conc1","def1","conc2","def2","domain","type2","average"
"Amplifier","electronic equipment that increases strength of signals passing through it","Equalizer","electronic equipment that reduces frequency distortion","M","c",3.0417
"Auditorium","the area of a theater or concert hall where the audience sits","Patio","usually paved outdoor area adjoining a residence","Sc","c",0.9600
"Bill","a piece of paper money (especially one issued by a central bank)","Change","the balance of money received when the amount you tender is greater than the amount due","E","c",2.6923
"Coach","someone in charge of training an athlete or a team","Referee","the chief official (as in boxing or American football) who is expected to ensure fair play","So","c",1.9600
"Dormitory","a college or university building containing living quarters for students","Classroom","a room in a school where lessons take place","Sc","c",1.5833
"Duck","small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs","Aquatic bird","wading and swimming and diving birds of either fresh or salt water","Z","c",3.0000
"Footwear","clothing worn on a person's feet","Goods","articles of commerce","E","c",1.5600
"Giant panda","large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family","Vertebrate","animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium","Z","c",1.4783
"Harmony","the structure of music with respect to the composition and progression of chords","Voice","the melody carried by a particular voice or instrument in polyphonic music","M","c",2.8333
"Hydrology","the branch of geology that studies water on the earth and in the atmosphere: its distribution and uses and conservation","Seismology","the branch of geology that studies earthquakes","B","c",1.6000
"Kindergarten","a preschool for children age 4 to 6 to prepare them for primary school","Institution","an organization founded and united for a specific purpose","Sc","c",2.0000
"Missile","a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control","Vehicle","a conveyance that transports people or objects","C","c",0.9231
"Muffin","a sweet quick bread baked in a cup-shaped pan","Bagel","glazed yeast-raised doughnut-shaped roll with hard crust","F","c",2.1538
"Opera","a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes","Carol","joyful religious song celebrating the birth of Christ","M","c",1.6800
"Punt","a kick in which the football is dropped from the hands and kicked before it touches the ground","Corner kick","a free kick from the corner awarded to the other side when a player has sent the ball behind his own goal line","So","c",2.0833
"Reef","a submerged ridge of rock or coral near the surface of the water","Dune","a ridge of sand created by the wind; found in deserts or near lakes and oceans","B","c",1.0000
"Salmon","flesh of any of various marine or freshwater fish of the family Salmonidae","Anchovy","small herring-like plankton-eating fishes often canned whole or as paste; abundant in tropical waters worldwide","F","c",2.6087
"Sedan","a car that is closed and that has front and rear seats and two or four doors","Bobsled","a long racing sled (for 2 or more people) with a steering mechanism","C","c",0.8077
"Shore boulder","a boulder found on a shore remote from its place of origin","Crystal","a rock formed by the solidification of a substance; has regularly repeating internal structure","B","c",1.5000
"Soccer","a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal","Field game","an outdoor game played on a field of specified dimensions","So","c",3.2000
"Speedway","road where high speed driving is allowed","Detour","a roundabout road (especially one that is used temporarily while a main route is blocked)","C","c",1.3462
"Stadium","a large structure for open-air sports or entertainments","Hippodrome","a stadium for horse shows or horse races","S","c",2.3600
"Stake","a right or legal share of something; a financial involvement with something","Investment","laying out money or capital in an enterprise with the expectation of profit","E","c",2.9600
"Volleyball","a game in which two teams hit an inflated ball over a high net using their hands","Soccer","a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal","S","c",2.1600
"Ambulance","a vehicle that takes people to and from hospitals","Bullet train","a high-speed passenger train","C","f",0.9200
"Auto racing","the sport of racing automobiles","Circuit","a racetrack for automobile races","S","f",2.7500
"Ballet","a theatrical representation of a story that is performed to music by trained dancers","Opera","a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes","M","f",2.6000
"Bikini","a woman's abbreviated two-piece bathing suit","Bathing machine","a building containing dressing rooms for bathers","B","f",1.4000
"Car","a motor vehicle with four wheels; usually propelled by an internal combustion engine","Airbus","a subsonic jet airliner operated over short distances","C","f",1.1600
"Coach","someone in charge of training an athlete or a team","Ball game","a field game played with a ball","So","f",2.0800
"Coach","someone in charge of training an athlete or a team","Blackmail","extortion of money by threats to divulge discrediting information","So","f",0.2083
"Coach","a person who gives private instruction (as in singing or acting)","Teacher","a person whose occupation is teaching","Sc","f",2.8400
"Competitiveness","an aggressive willingness to compete","Sport","an active diversion requiring physical exertion and competition","S","f",3.2400
"Coriander","Old World herb with aromatic leaves and seed resembling parsley","Ginger","perennial plants having thick branching aromatic rhizomes and leafy reedlike stems","F","f",2.6522
"Corner kick","a free kick from the corner awarded to the other side when a player has sent the ball behind his own goal line","Fan","an enthusiastic devotee of sports","So","f",1.0400
"Duck","small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs","Butterfly","diurnal insect typically having a slender body with knobbed antennae and broad colorful wings","Z","f",0.5200
"Equivocation","a statement that is not literally false but that cleverly avoids an unpleasant truth","Referee","the chief official (as in boxing or American football) who is expected to ensure fair play","So","f",1.2083
